uniqueID,spectrumID,name,asteroid classes,slope,sampleID,pca_1,pca_2,pca_3,pca_4,pca_5,General Type,Type 1,subtype,metbull type,clan subtype,class subtype
MT-D2M-209-A-C1MT209A,C1MT209A,LEW 87004,V-type,0.1136,MT-D2M-209-A,0.2552,0.6459,0.0219,-0.0123,-0.0251,Rock,Achondrite,Howardite,Eucrite-pmict,HED,HED
MT-D2M-210-A-BKR1MT210A,BKR1MT210A,MET 00423,V-type,0.0108,MT-D2M-210-A,-0.0833,0.6773,-0.0726,0.0603,-0.0151,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-210-A-C1MT210A,C1MT210A,MET 00423,V-type,0.0112,MT-D2M-210-A,-0.0869,0.6857,-0.0718,0.0577,-0.0103,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-211-A-BKR1MT211A,BKR1MT211A,MET 96500,V-type,0.0545,MT-D2M-211-A,0.5675,0.7075,0.0325,-0.0818,0.1191,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-211-A-C1MT211A,C1MT211A,MET 96500,V-type,0.0531,MT-D2M-211-A,0.4709,0.7408,0.0248,-0.0734,0.1385,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-212-A-BKR1MT212A,BKR1MT212A,QUE 97001,V-type,-0.0065,MT-D2M-212-A,0.2454,1.1181,-0.2915,-0.0757,0.0954,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-212-A-C1MT212A,C1MT212A,QUE 97001,V-type,-0.0059,MT-D2M-212-A,0.2135,1.1373,-0.2887,-0.0792,0.1117,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-213-A-BKR1MT213A,BKR1MT213A,QUE 97002,V-type,0.0802,MT-D2M-213-A,0.1354,0.4747,-0.0152,0.0675,-0.0365,Rock,Achondrite,Howardite,Eucrite-pmict,HED,HED
MT-D2M-213-A-C1MT213A,C1MT213A,QUE 97002,V-type,0.0802,MT-D2M-213-A,0.1320,0.4819,-0.0163,0.0672,-0.0361,Rock,Achondrite,Howardite,Eucrite-pmict,HED,HED
MT-D2M-214-A-BKR1MT214A,BKR1MT214A,QUE 99033,V-type,0.0008,MT-D2M-214-A,0.3138,1.1267,-0.2955,-0.0694,0.0851,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-214-A-C1MT214A,C1MT214A,QUE 99033,V-type,0.0012,MT-D2M-214-A,0.2831,1.1452,-0.2930,-0.0725,0.0999,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-215-A-BKR1MT215A,BKR1MT215A,SCO 06040,V-type,0.0195,MT-D2M-215-A,-0.1698,0.5903,-0.0727,0.0376,0.0061,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-215-A-C1MT215A,C1MT215A,SCO 06040,V-type,0.0198,MT-D2M-215-A,-0.1774,0.5998,-0.0722,0.0353,0.0120,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-242-A-BKR1MT242A,BKR1MT242A,EET 83376,V-type,0.0309,MT-D2M-242-A,0.5910,0.9510,-0.0816,0.0331,-0.0271,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-242-A-C1MT242A,C1MT242A,EET 83376,V-type,0.0312,MT-D2M-242-A,0.5746,0.9663,-0.0815,0.0306,-0.0194,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-243-A-BKR1MT243A,BKR1MT243A,EET 87503,V-type,0.0066,MT-D2M-243-A,-0.0774,0.7190,-0.0893,0.0472,-0.0209,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-243-A-C1MT243A,C1MT243A,EET 87503,V-type,0.0072,MT-D2M-243-A,-0.0841,0.7298,-0.0878,0.0442,-0.0133,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-244-A-BKR1MT244A,BKR1MT244A,EET 87513,V-type,0.0139,MT-D2M-244-A,-0.0329,0.7305,-0.0839,0.0278,-0.0071,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-244-A-C1MT244A,C1MT244A,EET 87513,V-type,0.0143,MT-D2M-244-A,-0.0443,0.7426,-0.0831,0.0254,0.0011,Rock,Achondrite,Howardite,Howardite,HED,HED
MT-D2M-245-A-BKR1MT245A,BKR1MT245A,EET 87518,V-type,0.0590,MT-D2M-245-A,0.6146,0.7907,-0.0025,0.0626,-0.0455,Rock,Achondrite,Howardite,Eucrite-pmict,HED,HED
MT-D2M-245-A-C1MT245A,C1MT245A,EET 87518,V-type,0.0588,MT-D2M-245-A,0.5929,0.8068,-0.0038,0.0616,-0.0389,Rock,Achondrite,Howardite,Eucrite-pmict,HED,HED
MT-D2M-246-A-BKR1MT246A,BKR1MT246A,EET 87532,V-type,0.0447,MT-D2M-246-A,0.6479,0.7248,0.0500,0.0605,-0.0249,Rock,Achondrite,Eucrite Polymict,Eucrite-pmict,HED,HED
MT-D2M-246-A-C1MT246A,C1MT246A,EET 87532,V-type,0.0443,MT-D2M-246-A,0.5981,0.7470,0.0460,0.0624,-0.0134,Rock,Achondrite,Eucrite Polymict,Eucrite-pmict,HED,HED
